;Unnamed: 0;Unnamed: 0.1;id;userName;userUrl;version;score;title;text;updated;url;app;wordCount;language;sentiment;w
0;8;8;7224987641;Meg_Long;https://itunes.apple.com/us/reviews/id366898507;2.90;3;Works Best not on T-Mobile network;"My camera has been sitting in the basement for a while and I finally found another use for it. It still works after all these years. The app surprisingly works as well. 

A month ago, I was on the T-Mobile network, and the app would only work when I was connected to Wi-Fi. I have since switched to Verizon and now can use it anywhere whether I am or am not connected to Wi-Fi. T-Mobile users for some reason can only use this app when on Wi-Fi. 

It works fine for all other purposes.";2021-04-15 06:45:37-07:00;https://itunes.apple.com/us/review?id=519014699&type=Purple%20Software;519014699;94;en;POSITIVE;0.3333333333333333
1;313;313;6512408148;gegreirebnueav;https://itunes.apple.com/us/reviews/id373914578;1.7.4;1;Unreliable and annoying;Absolutely terrible. It used to just be unreliable and used only Wi-Fi to connect with the phone. Now it’s unreliable and demands you have Bluetooth one AS WELL. Both are needed and it still won’t connect most of the time. The trick is to start the app, wait 5 seconds, choose the sound bar, and it will work. If you just start the app and go straight to your device, it’s greyed out and no amount of waiting will work. You have to close the app and start over. Janky technology is no fun.;2020-10-07 22:02:21-07:00;https://itunes.apple.com/us/review?id=1054033219&type=Purple%20Software;1054033219;94;en;NEGATIVE;0.004901960784313725
2;18;18;7326367983;jessedstein;https://itunes.apple.com/us/reviews/id102841154;2.8.0;5;Deprecated - still works;"App, website and product are all outdated. The company disbanded. 

However, if you have the device and this app, it still works fine. IFTTT support is gone.";2021-05-11 10:58:38-07:00;https://itunes.apple.com/us/review?id=741005248&type=Purple%20Software;741005248;27;en;POSITIVE;0.25
3;36;36;7786038503;90001213;https://itunes.apple.com/us/reviews/id448878741;3.56;2;Ezlo;"Ezlo can not be accessed through the website, app based only that keeps crashing. 

I purchased a thermostat from Vera and have tried to set up scenes unsuccessfully. The support team has been working on it for over two weeks and I haven’t heard from them in over a week. Wish I would have never upgraded to Ezlo.

Update. After four months, 114 emails and one conference call it appears the app doesn’t work on the thermostat with iOS. Not verified yet. So I’m disappointed. 

However would like to give a shout out to Daniel who has been working to solve the problem, so I’m hopeful";2021-09-08 18:32:52-07:00;https://itunes.apple.com/us/review?id=787203434&type=Purple%20Software;787203434;106;en;POSITIVE;0.1111111111111111
4;55;55;5386193105;macstirling;https://itunes.apple.com/us/reviews/id592869088;6.11;3;Suggested Improvements;"There are a number of things I would like to suggest for the Wink app.
1. Because the font is grey and tiny, it can be super hard to see especially in lower light scenarios.  Please enable the ability to increase the font and make it easier to see with higher contrast.
2. Allow for sorting of devices.  I know I can use groups but being able to sort the devices alphabetically or manually would be super helpful.
3. Continue to add icons for lights or allow us to upload a pic.  As an example, my garage has tube fluorescent lights and there isn’t a good icon. Neither for exterior house lights, fireplace etc.
4. Enable me to turn on a light and leave it on for x number of minutes/hours.
5. The app has become super slow.  Turning a light off or on is taking >30 seconds in some cases.  Turning services off is failing.  (I use ios).

Overall, I would like to see continued investment in this app even if I had to pay a little each year.";2020-01-10 09:53:02-07:00;https://itunes.apple.com/us/review?id=719287124&type=Purple%20Software;719287124;180;en;POSITIVE;0.047619047619047616
5;70;70;7650176141;Box574mac;https://itunes.apple.com/us/reviews/id100708429;3.44;5;Diet, hydration and exercise;"I use the Fitbit and the Fitbit app every single day.  I love the tracking capability of the app when it comes to counting and keeping track of calories consumed.  This was a key factor in my loss of nearly 40 lbs between Feb and April 2021.  Since then, I have easily kept the weight off due to constant vigilance.  I weigh myself every single day and I put the weight and body fat percentage into my Fitbit app.  This feature, too, has been a wonderful tool on my road to fitness and good health.  

I use the timer function in my Fitbit Charge 4 during exercise, when I’m cooking, when I’m reading, when I wear my YogaToes, when I do planks.  I use the gps record function when I walk my dog, and also sometimes when I go for shorter bike rides.  

All in all, I find that I am using my Fitbit and the app, too, on a daily basis.  It is part of my daily routine, and as I said when I reviewed the app and watch years ago, I wish I had one of these sooner…and I’ve had mine (this is my third Fitbit watch) for the better part of a decade now.";2021-08-03 05:35:51-07:00;https://itunes.apple.com/us/review?id=462638897&type=Purple%20Software;462638897;207;en;POSITIVE;0.013888888888888888
6;390;390;3969754735;Yummmbo;https://itunes.apple.com/us/reviews/id479603113;10.10.0;5;Great Devices;"Very pleased with products, service and follow up! So far, no illegal activity - hooray!
Also, camera can see how much snow has fallen so we can arrange shoveling while we are away.";2019-04-04 13:10:15-07:00;https://itunes.apple.com/us/review?id=418965252&type=Purple%20Software;418965252;33;en;POSITIVE;0.007352941176470588
7;111;111;7322856442;One of the first Pandora Users;https://itunes.apple.com/us/reviews/id599174744;1.9.5;5;I love the remote control option;We lost the remote somewhere in our room but we been using the app as a remote and it’s great because my husband can pause the show when I walk away without looking for the remote and I can unpause it from anywhere or easily rewind back to the part I miss. I like the fall asleep to TV being on so I set the timer through my phone and it’s So much easier than trying to set the timer on the TV.;2021-05-10 13:42:55-07:00;https://itunes.apple.com/us/review?id=1054033219&type=Purple%20Software;1054033219;83;en;POSITIVE;0.013888888888888888
8;18;18;5086636141;stevieminneapolis;https://itunes.apple.com/us/reviews/id5987627;1.7.6;1;Rediculous;They SkyBell stopped working because they stopped supporting the technology to make you buy a new door bell.  I only had it for a couple of years.  That’s rediculous and I won’t get another one;2019-11-04 12:54:55-07:00;https://itunes.apple.com/us/review?id=778872208&type=Purple%20Software;778872208;35;en;NEUTRAL;0.14285714285714285
9;10;10;5353587814;LGB512;https://itunes.apple.com/us/reviews/id15394750;6.6.2;5;Problem Resolved- Watch App Missing Pro Dimmer Light;"Update: Lutron’s suggested remedy was successful. For some reason the Pro Dimmer needed to be selected in the Apple Watch settings for it to be visible on the watch menu. Curiously the other 11 Dimmers in my house were automatically selected to appear on the watch menu. Easy fix. Five Star product!

The Lutron Caseta iPhone App works well but the Apple Watch App is missing one of my Wall Dimmers. It is the only Pro Dimmer in my home and is wired as a 3 way switch. I am using a Pro controller. HomeKit successfully shows the Pro Dimmer on it’s app on my Apple Watch. So why doesn’t the Pro Dimmer appear on Lutrons own app for the Apple Watch?";2020-01-02 19:17:04-07:00;https://itunes.apple.com/us/review?id=886753021&type=Purple%20Software;886753021;122;en;POSITIVE;0.030303030303030304
